hs2,simple_average,trade_value_total,hs4
10,0.8,5775570834.0,6
11,0.8,4455988226.0,7
12,1.35,4500049116.0,8
13,5.43,3357547958.0,1
14,1.69,362400378.0,1
15,2.63,27193598592.0,14
16,0.3,7610905876.0,3
17,19.88,14349479372.0,4
18,5.04,12057011984.0,3
19,12.18,3535485150.0,2
20,3.82,28773685180.0,7
21,14.31,22946403022.0,4
22,3.74,49723242236.0,8
23,19.88,9964122392.0,4
24,10.15,6871792370.0,4
25,0.88,478627910.0,1
26,5.89,2267108928.0,6
27,6.15,468514071040.0,3
29,0.41,3687520504.0,1
30,5.82,7964220552.0,1
33,2.49,9063789782.0,1
35,2.63,2910040874.0,4
38,4.91,2227149596.0,2
40,14.04,46624292368.0,4
42,5.07,24212118934.0,1
44,3.34,6542042622.0,2
51,3.89,57362296.0,4
52,8.22,43480166.0,3
53,0.04,21248752.0,1
54,14.43,1543600024.0,2
56,12.31,878513988.0,2
61,14.92,21499980270.0,5
62,17.85,55923212762.0,9
63,12.0,259397584.0,1
64,34.63,29604763790.0,2
65,9.57,4531736532.0,2
68,2.8,1147085014.0,1
70,1.48,4523207054.0,5
71,5.2,109019614598.0,4
79,0.14,149546286.0,1
81,2.11,1551324138.0,3
82,5.42,4660201804.0,2
83,3.01,399629204.0,1
84,5.32,22602694044.0,1
90,1.95,20221336844.0,3
91,18.92,14741076292.0,8
93,3.05,1625369124.0,1
95,1.98,1812769534.0,1
96,6.94,7946201152.0,4
