hs4,simple_average,year_x,Reporter_ISO_N,ReporterName_x,trade_value_total,year_y,ReporterCode,ReporterName_y,tariff_revenue_estimate,hs2
2309,77.2,2023,840,United States,6476123424.0,2024,842,"USA,PR,USVI",4999567283.328,23
9109,56.48333333333333,2023,840,United States,9812372.0,2024,842,"USA,PR,USVI",5542354.784666667,91
4014,39.97666666666667,2023,840,United States,168208058.0,2024,842,"USA,PR,USVI",67243974.65313333,40
9102,35.01541666666667,2023,840,United States,10042019060.0,2024,842,"USA,PR,USVI",3516254815.605083,91
6402,34.926,2023,840,United States,13330974658.0,2024,842,"USA,PR,USVI",4655976209.053081,64
1701,34.80285714285714,2023,840,United States,5305650798.0,2024,842,"USA,PR,USVI",1846518067.7268,17
6404,34.335,2023,840,United States,16273789132.0,2024,842,"USA,PR,USVI",5587605498.472199,64
2401,31.896153846153844,2023,840,United States,1613956766.0,2024,842,"USA,PR,USVI",514790133.09376925,24
2105,30.93,2023,840,United States,608419650.0,2024,842,"USA,PR,USVI",188184197.745,21
2620,29.54,2023,840,United States,754321828.0,2024,842,"USA,PR,USVI",222826667.9912,26
6205,24.215,2023,840,United States,5582192510.0,2024,842,"USA,PR,USVI",1351727916.2965,62
1901,23.918,2023,840,United States,3416252348.0,2024,842,"USA,PR,USVI",817099236.59464,19
6204,23.625,2023,840,United States,20865789774.0,2024,842,"USA,PR,USVI",4929542834.1075,62
1702,23.554166666666664,2023,840,United States,1929342350.0,2024,842,"USA,PR,USVI",454440512.6895833,17
1704,20.49,2023,840,United States,6644166122.0,2024,842,"USA,PR,USVI",1361389638.3977997,17
6201,20.17,2023,840,United States,4082682364.0,2024,842,"USA,PR,USVI",823477032.8188001,62
6102,19.44,2023,840,United States,1722289842.0,2024,842,"USA,PR,USVI",334813145.28480005,61
6203,19.06571428571429,2023,840,United States,16334267182.0,2024,842,"USA,PR,USVI",3114244711.5853148,62
6202,18.881666666666668,2023,840,United States,3937989950.0,2024,842,"USA,PR,USVI",743558135.7258334,62
6104,17.915,2023,840,United States,11149107678.0,2024,842,"USA,PR,USVI",1997362640.5137,61
5407,17.092857142857145,2023,840,United States,1504447346.0,2024,842,"USA,PR,USVI",257153035.64128575,54
6206,15.95,2023,840,United States,3686447282.0,2024,842,"USA,PR,USVI",587988341.479,62
6209,15.3,2023,840,United States,661693736.0,2024,842,"USA,PR,USVI",101239141.608,62
1806,14.88625,2023,840,United States,9842938076.0,2024,842,"USA,PR,USVI",1465244369.33855,18
6101,14.585,2023,840,United States,1710058892.0,2024,842,"USA,PR,USVI",249412089.3982,61
5602,14.3,2023,840,United States,237082648.0,2024,842,"USA,PR,USVI",33902818.664000005,56
4015,14.195,2023,840,United States,5542728432.0,2024,842,"USA,PR,USVI",786790300.9224,40
6103,14.153333333333334,2023,840,United States,4665160976.0,2024,842,"USA,PR,USVI",660275783.4698668,61
9103,14.046666666666669,2023,840,United States,8903738.0,2024,842,"USA,PR,USVI",1250678.3977333335,91
6215,13.57,2023,840,United States,189605576.0,2024,842,"USA,PR,USVI",25729476.663200002,62
5203,13.41,2023,840,United States,2688864.0,2024,842,"USA,PR,USVI",360576.6624,52
9105,13.013846153846156,2023,840,United States,307226188.0,2024,842,"USA,PR,USVI",39981943.45064616,91
6310,12.0,2023,840,United States,259397584.0,2024,842,"USA,PR,USVI",31127710.08,63
5408,11.77,2023,840,United States,39152678.0,2024,842,"USA,PR,USVI",4608270.2006,54
6501,10.99,2023,840,United States,104713378.0,2024,842,"USA,PR,USVI",11508000.2422,65
9108,10.962857142857144,2023,840,United States,59496658.0,2024,842,"USA,PR,USVI",6522533.621314287,91
7115,10.465,2023,840,United States,42465583598.0,2024,842,"USA,PR,USVI",4444023323.5307,71
2003,10.45,2023,840,United States,277962440.0,2024,842,"USA,PR,USVI",29047074.98,20
5607,10.32,2023,840,United States,641431340.0,2024,842,"USA,PR,USVI",66195714.288,56
